"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","149","Create a customer with empty request body","sales-portal-api","Sat Dec 13 22:23:03 UTC 2025","passed","Sat Dec 13 22:23:03 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","33224","Pagination","sales-portal-api","Sat Dec 13 22:25:27 UTC 2025","broken","Sat Dec 13 22:26:00 UTC 2025","[API] [Sales Portal] [Products] Pagination > pagination","","",""
"","3408","Creat product with valid productData","sales-portal-api","Sat Dec 13 22:23:48 UTC 2025","passed","Sat Dec 13 22:23:52 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","6750","Update product with invalid data: notes with < symbol","sales-portal-api","Sat Dec 13 22:25:10 UTC 2025","passed","Sat Dec 13 22:25:17 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","259","Get order by valid id","sales-portal-api","Sat Dec 13 22:23:30 UTC 2025","passed","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Orders] [Get Oreder By Id]","","",""
"","7762","Assign a manager","sales-portal-api","Sat Dec 13 22:23:26 UTC 2025","passed","Sat Dec 13 22:23:34 UTC 2025","[API] [Sales Portal] [Orders] [Assign a manager to an order]","","",""
"","6505","Update product with valid data: min valid price","sales-portal-api","Sat Dec 13 22:25:13 UTC 2025","passed","Sat Dec 13 22:25:20 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","6040","Create Product with same name","sales-portal-api","Sat Dec 13 22:23:44 UTC 2025","passed","Sat Dec 13 22:23:50 UTC 2025","[API] [Sales Portal] [Products Negative test]","","",""
"","4981","Update a customer with field email","sales-portal-api","Sat Dec 13 22:23:16 UTC 2025","passed","Sat Dec 13 22:23:21 UTC 2025","[API] [Sales Portal] [Customers] > [Update Positive]","","",""
"","0","Update delivery details of an order without TOKEN","sales-portal-api","Sat Dec 13 22:23:30 UTC 2025","skipped","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Orders] > [Update delivery details of an order]","","",""
"","2774","Creat product with invalid notes","sales-portal-api","Sat Dec 13 22:23:40 UTC 2025","passed","Sat Dec 13 22:23:43 UTC 2025","[API] [Sales Portal] [Products Negative test]","","",""
